id,type,time,products,items,orders,employees,packages,customers
pick_i-880032,pick_item,2023-04-05T09:10:48,iPad_Pro,i-880032,,Nina_Graves,,
pick_i-880031,pick_item,2023-04-05T09:20:35,MacBook_Air,i-880031,,Christopher_Schwanen,,
reorder_i-880016,reorder_item,2023-04-05T09:26:59,Echo_Show_8,i-880016,,Leah_Tacke_genannt_Unterberg,,
confirm_o-990006,confirm_order,2023-04-05T09:27:31,"Echo_Show_5,Echo_Studio,MacBook_Air,iPad,iPad_Pro,iPhone_11_Pro","i-880026,i-880027,i-880028,i-880029,i-880030,i-880031,i-880032",o-990006,Mara_Nitschke,,Balkan_Minerals_d.o.o.
pick_i-880011,pick_item,2023-04-05T09:47:56,Kindle_Paperwhite,i-880011,,Leah_Tacke_genannt_Unterberg,,
pick_i-880008,pick_item,2023-04-05T10:35:22,iPhone_8,i-880008,,Benedikt_Knopp,,
place_o-990007,place_order,2023-04-05T11:05:45,"Echo,Fire_Stick_4K,iPad_Air,iPad_mini,iPhone_8","i-880033,i-880034,i-880035,i-880036,i-880037,i-880038,i-880039",o-990007,,,Riviera_Robotics_SAS
pick_i-880030,pick_item,2023-04-05T11:15:10,iPad,i-880030,,Nina_Graves,,
out_of_stock_i-880036,item_out_of_stock,2023-04-05T11:24:16,iPad_mini,i-880036,,Marco_Pegoraro,,
out_of_stock_i-880018,item_out_of_stock,2023-04-05T12:08:04,iPad_Pro,i-880018,,Detlef_Wetzeler,,
out_of_stock_i-880010,item_out_of_stock,2023-04-05T12:24:55,iPhone_X,i-880010,,Nina_Graves,,
pick_i-880004,pick_item,2023-04-05T12:53:49,MacBook_Pro,i-880004,,Mahsa_Bafrani,,
pick_i-880029,pick_item,2023-04-05T13:09:33,iPad,i-880029,,Christopher_Schwanen,,
pick_i-880022,pick_item,2023-04-05T13:20:58,Echo_Studio,i-880022,,Benedikt_Knopp,,
confirm_o-990003,confirm_order,2023-04-05T13:27:08,"Fire_Stick,Kindle_Paperwhite,iPad_Pro,iPhone_8,iPhone_X","i-880007,i-880008,i-880009,i-880010,i-880011,i-880012",o-990003,Jan_Niklas_Adams,,Celtica_Green_Farms_Oy
pick_i-880013,pick_item,2023-04-05T14:29:50,Echo,i-880013,,Nina_Graves,,
out_of_stock_i-880033,item_out_of_stock,2023-04-05T14:34:46,iPad_Air,i-880033,,Mahsa_Bafrani,,
reorder_i-880010,reorder_item,2023-04-05T15:19:01,iPhone_X,i-880010,,Detlef_Wetzeler,,
pay_o-990005,pay_order,2023-04-05T15:28:14,"Echo_Studio,Fire_Stick,Kindle_Paperwhite,MacBook_Air,iPad_Air","i-880021,i-880022,i-880023,i-880024,i-880025",o-990005,,,
place_o-990008,place_order,2023-04-05T15:31:49,"Fire_Stick,iPhone_11,iPhone_11_Pro,iPhone_X","i-880040,i-880041,i-880042,i-880043",o-990008,,,AlpenTech_Innovations_AG
pay_o-990001,pay_order,2023-04-05T15:47:04,"Echo,iPhone_11_Pro","i-880001,i-880002,i-880003",o-990001,,,
reorder_i-880033,reorder_item,2023-04-05T15:53:54,iPad_Air,i-880033,,Christopher_Schwanen,,
confirm_o-990007,confirm_order,2023-04-05T16:01:56,"Echo,Fire_Stick_4K,iPad_Air,iPad_mini,iPhone_8","i-880033,i-880034,i-880035,i-880036,i-880037,i-880038,i-880039",o-990007,Istvan_Koren,,Riviera_Robotics_SAS
pick_i-880014,pick_item,2023-04-05T17:08:54,Kindle_Paperwhite,i-880014,,Benedikt_Knopp,,
place_o-990009,place_order,2023-04-06T06:13:07,"Echo_Studio,Fire_Stick,iPad,iPhone_8","i-880044,i-880045,i-880046,i-880047",o-990009,,,Vesta_Fashion_House_GmbH
pick_i-880039,pick_item,2023-04-06T06:19:37,iPad_Air,i-880039,,Mahsa_Bafrani,,
confirm_o-990008,confirm_order,2023-04-06T07:27:43,"Fire_Stick,iPhone_11,iPhone_11_Pro,iPhone_X","i-880040,i-880041,i-880042,i-880043",o-990008,Wil_van_der_Aalst,,AlpenTech_Innovations_AG
pick_i-880045,pick_item,2023-04-06T07:32:12,iPad,i-880045,,Christopher_Schwanen,,
out_of_stock_i-880034,item_out_of_stock,2023-04-06T07:40:04,Echo,i-880034,,Christopher_Schwanen,,
confirm_o-990009,confirm_order,2023-04-06T08:12:38,"Echo_Studio,Fire_Stick,iPad,iPhone_8","i-880044,i-880045,i-880046,i-880047",o-990009,Istvan_Koren,,Vesta_Fashion_House_GmbH
out_of_stock_i-880035,item_out_of_stock,2023-04-06T08:55:11,Fire_Stick_4K,i-880035,,Detlef_Wetzeler,,
reorder_i-880034,reorder_item,2023-04-06T09:18:28,Echo,i-880034,,Benedikt_Knopp,,
pick_i-880047,pick_item,2023-04-06T09:55:00,iPhone_8,i-880047,,Christopher_Schwanen,,
pick_i-880024,pick_item,2023-04-06T10:01:11,iPad_Air,i-880024,,Marco_Pegoraro,,
place_o-990010,place_order,2023-04-06T11:09:59,"iPad_Pro,iPhone_11,iPhone_11_Pro,iPhone_X","i-880048,i-880049,i-880050,i-880051",o-990010,,,Vesta_Fashion_House_GmbH
out_of_stock_i-880007,item_out_of_stock,2023-04-06T12:09:37,Fire_Stick,i-880007,,Marco_Pegoraro,,
pick_i-880019,pick_item,2023-04-06T12:26:25,Fire_Stick_4K,i-880019,,Detlef_Wetzeler,,
reorder_i-880035,reorder_item,2023-04-06T12:59:08,Fire_Stick_4K,i-880035,,Marco_Pegoraro,,
confirm_o-990004,confirm_order,2023-04-06T13:26:08,"Echo,Echo_Dot,Echo_Show_8,Fire_Stick_4K,Kindle_Paperwhite,iPad_Pro,iPhone_8","i-880013,i-880014,i-880015,i-880016,i-880017,i-880018,i-880019,i-880020",o-990004,Christine_von_Dobbert,,Baltic_Wave_Energies_Ltd.
pick_i-880026,pick_item,2023-04-06T14:22:52,iPhone_11_Pro,i-880026,,Detlef_Wetzeler,,
pay_o-990008,pay_order,2023-04-06T14:30:08,"Fire_Stick,iPhone_11,iPhone_11_Pro,iPhone_X","i-880040,i-880041,i-880042,i-880043",o-990008,,,
confirm_o-990010,confirm_order,2023-04-06T14:31:47,"iPad_Pro,iPhone_11,iPhone_11_Pro,iPhone_X","i-880048,i-880049,i-880050,i-880051",o-990010,Christine_von_Dobbert,,Vesta_Fashion_House_GmbH
pick_i-880005,pick_item,2023-04-06T14:31:52,Kindle_Paperwhite,i-880005,,Christopher_Schwanen,,
pick_i-880017,pick_item,2023-04-06T15:21:18,iPhone_8,i-880017,,Detlef_Wetzeler,,
pick_i-880041,pick_item,2023-04-06T15:24:07,iPhone_11_Pro,i-880041,,Leah_Tacke_genannt_Unterberg,,
place_o-990011,place_order,2023-04-06T15:40:17,"Echo_Show_8,Echo_Studio,iPad_mini","i-880052,i-880053,i-880054",o-990011,,,Eastern_Oak_Insurance_Zrt.
pick_i-880034,pick_item,2023-04-06T15:55:10,Echo,i-880034,,Christopher_Schwanen,,
pick_i-880054,pick_item,2023-04-06T15:57:17,iPad_mini,i-880054,,Christopher_Schwanen,,
pick_i-880049,pick_item,2023-04-07T06:49:13,iPhone_X,i-880049,,Detlef_Wetzeler,,
place_o-990012,place_order,2023-04-07T06:53:28,"Echo,Echo_Dot,MacBook_Air,iPad_Pro","i-880055,i-880056,i-880057,i-880058,i-880059",o-990012,,,SwissPeak_Timepieces_AG
pick_i-880042,pick_item,2023-04-07T07:36:34,iPhone_11,i-880042,,Mahsa_Bafrani,,
confirm_o-990012,confirm_order,2023-04-07T08:03:35,"Echo,Echo_Dot,MacBook_Air,iPad_Pro","i-880055,i-880056,i-880057,i-880058,i-880059",o-990012,Christine_von_Dobbert,,SwissPeak_Timepieces_AG
pick_i-880027,pick_item,2023-04-07T08:42:42,Echo_Studio,i-880027,,Marco_Pegoraro,,
pick_i-880038,pick_item,2023-04-07T08:47:05,iPad_Air,i-880038,,Christopher_Schwanen,,
pay_o-990007,pay_order,2023-04-07T11:22:22,"Echo,Fire_Stick_4K,iPad_Air,iPad_mini,iPhone_8","i-880033,i-880034,i-880035,i-880036,i-880037,i-880038,i-880039",o-990007,,,
pick_i-880033,pick_item,2023-04-07T12:03:44,iPad_Air,i-880033,,Marco_Pegoraro,,
pick_i-880055,pick_item,2023-04-07T12:08:07,MacBook_Air,i-880055,,Nina_Graves,,
place_o-990013,place_order,2023-04-07T12:10:31,"Fire_Stick_4K,iPhone_11,iPhone_8,iPhone_X","i-880060,i-880061,i-880062,i-880063,i-880064,i-880065",o-990013,,,Mediterranea_Luxury_Cruises_S.p.A.
pick_i-880064,pick_item,2023-04-07T12:13:13,iPhone_8,i-880064,,Marco_Pegoraro,,
pick_i-880043,pick_item,2023-04-07T12:35:22,Fire_Stick,i-880043,,Nina_Graves,,
out_of_stock_i-880046,item_out_of_stock,2023-04-07T13:14:43,Fire_Stick,i-880046,,Mahsa_Bafrani,,
pick_i-880061,pick_item,2023-04-07T13:17:32,iPhone_11,i-880061,,Nina_Graves,,
confirm_o-990013,confirm_order,2023-04-07T13:19:53,"Fire_Stick_4K,iPhone_11,iPhone_8,iPhone_X","i-880060,i-880061,i-880062,i-880063,i-880064,i-880065",o-990013,Wil_van_der_Aalst,,Mediterranea_Luxury_Cruises_S.p.A.
pick_i-880040,pick_item,2023-04-07T13:40:24,iPhone_X,i-880040,,Leah_Tacke_genannt_Unterberg,,
pick_i-880044,pick_item,2023-04-07T14:02:42,Echo_Studio,i-880044,,Marco_Pegoraro,,
pick_i-880056,pick_item,2023-04-07T14:03:27,Echo,i-880056,,Christopher_Schwanen,,
reorder_i-880018,reorder_item,2023-04-07T14:10:47,iPad_Pro,i-880018,,Benedikt_Knopp,,
pick_i-880010,pick_item,2023-04-07T14:44:23,iPhone_X,i-880010,,Nina_Graves,,
reorder_i-880046,reorder_item,2023-04-07T15:36:22,Fire_Stick,i-880046,,Marco_Pegoraro,,
place_o-990014,place_order,2023-04-07T16:41:21,"Echo_Plus,iPad,iPad_mini","i-880066,i-880067,i-880068",o-990014,,,Celtica_Green_Farms_Oy
create_p-660001,create_package,2023-04-07T23:00:00,"Echo,Echo_Studio,Fire_Stick,Kindle_Paperwhite,MacBook_Air,MacBook_Pro,iPad_Air,iPad_mini,iPhone_11,iPhone_11_Pro,iPhone_X","i-880001,i-880002,i-880003,i-880004,i-880005,i-880006,i-880021,i-880022,i-880023,i-880024,i-880025,i-880040,i-880041,i-880042,i-880043",,Detlef_Wetzeler,p-660001,
place_o-990015,place_order,2023-04-09T12:15:59,"Echo,Echo_Plus,iPad_mini","i-880069,i-880070,i-880071",o-990015,,,Iberian_Sun_Solaridades_SA
pick_i-880048,pick_item,2023-04-10T06:44:22,iPhone_11_Pro,i-880048,,Nina_Graves,,
pick_i-880062,pick_item,2023-04-10T07:00:46,iPhone_X,i-880062,,Marco_Pegoraro,,
pick_i-880070,pick_item,2023-04-10T07:00:57,iPad_mini,i-880070,,Mahsa_Bafrani,,
send_p-660001,send_package,2023-04-10T08:40:42,"Echo,Echo_Studio,Fire_Stick,Kindle_Paperwhite,MacBook_Air,MacBook_Pro,iPad_Air,iPad_mini,iPhone_11,iPhone_11_Pro,iPhone_X","i-880001,i-880002,i-880003,i-880004,i-880005,i-880006,i-880021,i-880022,i-880023,i-880024,i-880025,i-880040,i-880041,i-880042,i-880043",,"Detlef_Wetzeler,Viki_Peeva",p-660001,
out_of_stock_i-880050,item_out_of_stock,2023-04-10T09:03:45,iPad_Pro,i-880050,,Benedikt_Knopp,,
reorder_i-880036,reorder_item,2023-04-10T09:14:54,iPad_mini,i-880036,,Detlef_Wetzeler,,
place_o-990016,place_order,2023-04-10T09:37:17,"Echo_Studio,Fire_Stick_4K,iPad_Pro,iPhone_11,iPhone_X","i-880072,i-880073,i-880074,i-880075,i-880076,i-880077",o-990016,,,Nordica_Systems_GmbH
pick_i-880075,pick_item,2023-04-10T09:53:35,iPad_Pro,i-880075,,Nina_Graves,,
pick_i-880051,pick_item,2023-04-10T10:05:48,iPhone_11,i-880051,,Marco_Pegoraro,,
pay_o-990002,pay_order,2023-04-10T11:00:09,"Kindle_Paperwhite,MacBook_Pro,iPad_mini","i-880004,i-880005,i-880006",o-990002,,,
pick_i-880063,pick_item,2023-04-10T12:39:52,iPhone_X,i-880063,,Mahsa_Bafrani,,
pick_i-880057,pick_item,2023-04-10T13:32:44,iPad_Pro,i-880057,,Leah_Tacke_genannt_Unterberg,,
pick_i-880067,pick_item,2023-04-10T13:54:41,Echo_Plus,i-880067,,Detlef_Wetzeler,,
pick_i-880037,pick_item,2023-04-10T14:28:45,iPhone_8,i-880037,,Leah_Tacke_genannt_Unterberg,,
place_o-990017,place_order,2023-04-10T14:34:53,"Echo_Dot,Echo_Plus,Echo_Show_5,Fire_Stick,Fire_Stick_4K,iPad_mini","i-880078,i-880079,i-880080,i-880081,i-880082,i-880083",o-990017,,,Golden_Fleece_Textiles_S.A.R.L.
pick_i-880068,pick_item,2023-04-10T15:20:00,iPad,i-880068,,Mahsa_Bafrani,,
pick_i-880073,pick_item,2023-04-10T15:22:32,iPhone_X,i-880073,,Mahsa_Bafrani,,
confirm_o-990014,confirm_order,2023-04-10T15:36:39,"Echo_Plus,iPad,iPad_mini","i-880066,i-880067,i-880068",o-990014,Istvan_Koren,,Celtica_Green_Farms_Oy
confirm_o-990017,confirm_order,2023-04-10T17:28:12,"Echo_Dot,Echo_Plus,Echo_Show_5,Fire_Stick,Fire_Stick_4K,iPad_mini","i-880078,i-880079,i-880080,i-880081,i-880082,i-880083",o-990017,Mara_Nitschke,,Golden_Fleece_Textiles_S.A.R.L.
confirm_o-990011,confirm_order,2023-04-10T19:55:54,"Echo_Show_8,Echo_Studio,iPad_mini","i-880052,i-880053,i-880054",o-990011,Mara_Nitschke,,Eastern_Oak_Insurance_Zrt.
place_o-990018,place_order,2023-04-10T21:25:17,"Echo_Dot,Echo_Show_5,Kindle_Paperwhite,iPhone_11_Pro","i-880084,i-880085,i-880086,i-880087,i-880088",o-990018,,,AlpenTech_Innovations_AG
pay_o-990014,pay_order,2023-04-11T06:43:14,"Echo_Plus,iPad,iPad_mini","i-880066,i-880067,i-880068",o-990014,,,
pick_i-880085,pick_item,2023-04-11T06:46:06,Echo_Show_5,i-880085,,Christopher_Schwanen,,
confirm_o-990018,confirm_order,2023-04-11T07:03:16,"Echo_Dot,Echo_Show_5,Kindle_Paperwhite,iPhone_11_Pro","i-880084,i-880085,i-880086,i-880087,i-880088",o-990018,Wil_van_der_Aalst,,AlpenTech_Innovations_AG
out_of_stock_i-880081,item_out_of_stock,2023-04-11T07:19:29,iPad_mini,i-880081,,Benedikt_Knopp,,
confirm_o-990016,confirm_order,2023-04-11T07:30:24,"Echo_Studio,Fire_Stick_4K,iPad_Pro,iPhone_11,iPhone_X","i-880072,i-880073,i-880074,i-880075,i-880076,i-880077",o-990016,Wil_van_der_Aalst,,Nordica_Systems_GmbH
pick_i-880060,pick_item,2023-04-11T07:48:03,iPhone_8,i-880060,,Marco_Pegoraro,,
reorder_i-880007,reorder_item,2023-04-11T07:52:59,Fire_Stick,i-880007,,Detlef_Wetzeler,,
pick_i-880076,pick_item,2023-04-11T08:09:38,Echo_Studio,i-880076,,Marco_Pegoraro,,
out_of_stock_i-880084,item_out_of_stock,2023-04-11T08:26:08,Echo_Dot,i-880084,,Leah_Tacke_genannt_Unterberg,,
reorder_i-880050,reorder_item,2023-04-11T08:30:52,iPad_Pro,i-880050,,Nina_Graves,,
out_of_stock_i-880065,item_out_of_stock,2023-04-11T08:32:58,Fire_Stick_4K,i-880065,,Benedikt_Knopp,,
confirm_o-990015,confirm_order,2023-04-11T08:47:20,"Echo,Echo_Plus,iPad_mini","i-880069,i-880070,i-880071",o-990015,Christine_von_Dobbert,,Iberian_Sun_Solaridades_SA
deliver_p-660001,package_delivered,2023-04-11T09:03:27,"Echo,Echo_Studio,Fire_Stick,Kindle_Paperwhite,MacBook_Air,MacBook_Pro,iPad_Air,iPad_mini,iPhone_11,iPhone_11_Pro,iPhone_X","i-880001,i-880002,i-880003,i-880004,i-880005,i-880006,i-880021,i-880022,i-880023,i-880024,i-880025,i-880040,i-880041,i-880042,i-880043",,Viki_Peeva,p-660001,
out_of_stock_i-880078,item_out_of_stock,2023-04-11T10:07:07,Echo_Dot,i-880078,,Marco_Pegoraro,,
reorder_i-880084,reorder_item,2023-04-11T10:07:20,Echo_Dot,i-880084,,Detlef_Wetzeler,,
place_o-990019,place_order,2023-04-11T10:24:07,"Echo_Studio,iPad,iPhone_11","i-880089,i-880090,i-880091",o-990019,,,Nordica_Systems_GmbH
pick_i-880028,pick_item,2023-04-11T10:49:45,Echo_Show_5,i-880028,,Nina_Graves,,
pick_i-880069,pick_item,2023-04-11T11:45:01,Echo_Plus,i-880069,,Detlef_Wetzeler,,
out_of_stock_i-880074,item_out_of_stock,2023-04-11T12:38:26,iPad_Pro,i-880074,,Marco_Pegoraro,,
pick_i-880082,pick_item,2023-04-11T13:00:56,Echo_Show_5,i-880082,,Mahsa_Bafrani,,
pick_i-880072,pick_item,2023-04-11T13:16:50,Fire_Stick_4K,i-880072,,Nina_Graves,,
reorder_i-880074,reorder_item,2023-04-11T13:39:26,iPad_Pro,i-880074,,Marco_Pegoraro,,
out_of_stock_i-880083,item_out_of_stock,2023-04-11T13:49:13,Fire_Stick,i-880083,,Mahsa_Bafrani,,
pick_i-880053,pick_item,2023-04-11T15:00:11,Echo_Show_8,i-880053,,Benedikt_Knopp,,
place_o-990020,place_order,2023-04-11T15:08:33,"Fire_Stick,iPad_Air,iPhone_11","i-880092,i-880093,i-880094",o-990020,,,Pantheon_Art_Gallery_Kft.
pick_i-880089,pick_item,2023-04-11T15:13:11,iPhone_11,i-880089,,Nina_Graves,,
reorder_i-880065,reorder_item,2023-04-11T15:13:18,Fire_Stick_4K,i-880065,,Nina_Graves,,
pick_i-880086,pick_item,2023-04-11T15:33:43,iPhone_11_Pro,i-880086,,Leah_Tacke_genannt_Unterberg,,
place_o-990021,place_order,2023-04-12T01:57:11,"Echo_Studio,iPad,iPad_Pro","i-880095,i-880096,i-880097",o-990021,,,Eastern_Oak_Insurance_Zrt.
confirm_o-990019,confirm_order,2023-04-12T06:55:57,"Echo_Studio,iPad,iPhone_11","i-880089,i-880090,i-880091",o-990019,Wil_van_der_Aalst,,Nordica_Systems_GmbH
out_of_stock_i-880066,item_out_of_stock,2023-04-12T07:51:49,iPad_mini,i-880066,,Detlef_Wetzeler,,
pick_i-880074,pick_item,2023-04-12T07:52:12,iPad_Pro,i-880074,,Leah_Tacke_genannt_Unterberg,,
create_p-660002,create_package,2023-04-12T07:52:12,"Echo,Echo_Dot,Echo_Show_8,Fire_Stick_4K,Kindle_Paperwhite,iPhone_8","i-880013,i-880014,i-880015,i-880017,i-880019,i-880020",,Christopher_Schwanen,p-660002,
pick_i-880071,pick_item,2023-04-12T08:22:01,Echo,i-880071,,Mahsa_Bafrani,,
out_of_stock_i-880096,item_out_of_stock,2023-04-12T08:44:57,Echo_Studio,i-880096,,Detlef_Wetzeler,,
pick_i-880035,pick_item,2023-04-12T09:42:21,Fire_Stick_4K,i-880035,,Marco_Pegoraro,,
confirm_o-990021,confirm_order,2023-04-12T09:44:39,"Echo_Studio,iPad,iPad_Pro","i-880095,i-880096,i-880097",o-990021,Mara_Nitschke,,Eastern_Oak_Insurance_Zrt.
pick_i-880065,pick_item,2023-04-12T10:08:07,Fire_Stick_4K,i-880065,,Nina_Graves,,
place_o-990022,place_order,2023-04-12T11:23:13,"Echo_Show_5,Kindle,Kindle_Paperwhite,MacBook_Air,iPad","i-880098,i-880099,i-880100,i-880101,i-880102",o-990022,,,Iberian_Sun_Solaridades_SA
confirm_o-990020,confirm_order,2023-04-12T12:26:45,"Fire_Stick,iPad_Air,iPhone_11","i-880092,i-880093,i-880094",o-990020,Jan_Niklas_Adams,,Pantheon_Art_Gallery_Kft.
pick_i-880091,pick_item,2023-04-12T13:08:06,Echo_Studio,i-880091,,Benedikt_Knopp,,
pick_i-880080,pick_item,2023-04-12T13:16:47,Echo_Plus,i-880080,,Christopher_Schwanen,,
pay_o-990006,pay_order,2023-04-12T13:22:49,"Echo_Show_5,Echo_Studio,MacBook_Air,iPad,iPad_Pro,iPhone_11_Pro","i-880026,i-880027,i-880028,i-880029,i-880030,i-880031,i-880032",o-990006,,,
pay_o-990015,pay_order,2023-04-12T13:34:14,"Echo,Echo_Plus,iPad_mini","i-880069,i-880070,i-880071",o-990015,,,
pick_i-880016,pick_item,2023-04-12T13:59:22,Echo_Show_8,i-880016,,Christopher_Schwanen,,
create_p-660003,create_package,2023-04-12T13:59:22,"Echo_Plus,Kindle_Paperwhite,iPad,iPad_Pro,iPhone_8,iPhone_X","i-880008,i-880009,i-880010,i-880011,i-880012,i-880067,i-880068",,Benedikt_Knopp,p-660003,
pick_i-880087,pick_item,2023-04-12T14:10:55,Kindle_Paperwhite,i-880087,,Detlef_Wetzeler,,
pick_i-880052,pick_item,2023-04-12T14:26:03,Echo_Studio,i-880052,,Christopher_Schwanen,,
reorder_i-880081,reorder_item,2023-04-12T14:30:27,iPad_mini,i-880081,,Nina_Graves,,
send_p-660002,send_package,2023-04-12T14:34:48,"Echo,Echo_Dot,Echo_Show_8,Fire_Stick_4K,Kindle_Paperwhite,iPhone_8","i-880013,i-880014,i-880015,i-880017,i-880019,i-880020",,"Detlef_Wetzeler,Eduardo_Goulart_Rocha",p-660002,
pick_i-880097,pick_item,2023-04-12T14:53:28,iPad,i-880097,,Leah_Tacke_genannt_Unterberg,,
pick_i-880058,pick_item,2023-04-12T15:39:55,Echo_Dot,i-880058,,Benedikt_Knopp,,
reorder_i-880066,reorder_item,2023-04-12T15:45:31,iPad_mini,i-880066,,Mahsa_Bafrani,,
reorder_i-880078,reorder_item,2023-04-12T15:51:03,Echo_Dot,i-880078,,Christopher_Schwanen,,
place_o-990023,place_order,2023-04-12T16:06:45,"Fire_Stick_4K,iPad_Air,iPad_Pro,iPhone_11_Pro,iPhone_8","i-880103,i-880104,i-880105,i-880106,i-880107",o-990023,,,Riviera_Robotics_SAS
pay_o-990011,pay_order,2023-04-12T16:44:17,"Echo_Show_8,Echo_Studio,iPad_mini","i-880052,i-880053,i-880054",o-990011,,,
pick_i-880103,pick_item,2023-04-12T19:18:09,iPad_Pro,i-880103,,Leah_Tacke_genannt_Unterberg,,
create_p-660004,create_package,2023-04-12T23:00:00,"Echo_Show_5,Echo_Studio,MacBook_Air,iPad,iPad_Pro,iPhone_11_Pro","i-880026,i-880027,i-880028,i-880029,i-880030,i-880031,i-880032",,Marco_Pegoraro,p-660004,
send_p-660004,send_package,2023-04-13T06:05:53,"Echo_Show_5,Echo_Studio,MacBook_Air,iPad,iPad_Pro,iPhone_11_Pro","i-880026,i-880027,i-880028,i-880029,i-880030,i-880031,i-880032",,"Majid_Rafiei,Yisong_Zhang",p-660004,
deliver_p-660004,package_delivered,2023-04-13T06:08:48,"Echo_Show_5,Echo_Studio,MacBook_Air,iPad,iPad_Pro,iPhone_11_Pro","i-880026,i-880027,i-880028,i-880029,i-880030,i-880031,i-880032",,Majid_Rafiei,p-660004,
pick_i-880092,pick_item,2023-04-13T06:36:14,iPhone_11,i-880092,,Marco_Pegoraro,,
place_o-990024,place_order,2023-04-13T07:09:49,"Echo_Plus,iPad_Air,iPhone_8","i-880108,i-880109,i-880110",o-990024,,,Iberian_Sun_Solaridades_SA
pick_i-880077,pick_item,2023-04-13T07:11:47,iPhone_11,i-880077,,Marco_Pegoraro,,
pick_i-880095,pick_item,2023-04-13T08:40:03,iPad_Pro,i-880095,,Marco_Pegoraro,,
confirm_o-990022,confirm_order,2023-04-13T08:47:59,"Echo_Show_5,Kindle,Kindle_Paperwhite,MacBook_Air,iPad","i-880098,i-880099,i-880100,i-880101,i-880102",o-990022,Mara_Nitschke,,Iberian_Sun_Solaridades_SA
confirm_o-990023,confirm_order,2023-04-13T09:26:39,"Fire_Stick_4K,iPad_Air,iPad_Pro,iPhone_11_Pro,iPhone_8","i-880103,i-880104,i-880105,i-880106,i-880107",o-990023,Christine_von_Dobbert,,Riviera_Robotics_SAS
pick_i-880106,pick_item,2023-04-13T09:31:55,iPhone_11_Pro,i-880106,,Christopher_Schwanen,,
out_of_stock_i-880079,item_out_of_stock,2023-04-13T09:56:42,Fire_Stick_4K,i-880079,,Christopher_Schwanen,,
